Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
竟	jìng									come to an end, entirely	1) в конце концов; конец, итог; окончательно, совершенно; 2) окончить, закончить; довести до конца; 3) расследовать; вникнуть до конца; 4) конец, предел; граница, вм. 境; 5) до конца; так и...; в вэньяне перед сказуемым часто указывает длительность действия ; 6) все-таки, несмотря ни на что; только и...			Dialectal data	117	7403	0752 a											
頂	dǐng	tēŋʔ	tḗŋ	tḗŋ	tiḗŋ	tiḗŋ	tiḗŋ	tiḗŋ	tíeŋ	top of head; top, summit	1) макушка головы; вершина, верхушка; крыша; нести на голове; 2) шарик на шапке чиновника; счетный суффикс шапок и паланкинов ; 3) в высшей степени, весьма, крайне; 4) нагнуть голову; бить лбом; подставить лоб ( напр. ветру ); отражать, давать отпор; 5) подпирать, поддерживать; 6) впереди; 7) раньше, до; 8) подменять, подставлять	Not in Schüssler's dictionary (although attested already in Yijing).	Sino-Tibetan etymology	Dialectal data	181	8091	0833 e				d_i`nh							
頃	qǐng	khʷeŋ	khweŋ	khweŋ	khjweŋ	khjweŋ	khjweŋ	khjweŋ	khjweŋ	be slanting, oblique	1) короткий промежуток времени, момент; только что; 2) цин ( мера земли в 100 му, около 6,67 га ); [qīng] наклонный, косой, вм. 傾	In earliest texts (as well as according to the Shuowen definition) identical to 傾 *khʷeŋ q.v. Since Late Zhou the character was used also for *khʷeŋʔ (MC khjwéŋ, FQ 去穎) 'a short moment of time' (since Han also for a homonymous *khʷeŋʔ 'measure of land' - about 6.67 hectars).	Sino-Tibetan etymology	Dialectal data	181	8119	0828 a								3.1, 20.3			頭不正也.從匕頁. [385]
魚	yú	ŋha	ŋha	ŋha	ŋha	ŋho	ŋho	ŋho	ŋö	fish	1) рыба; рыбный; рыбий; 2) рыболовство, рыбное дело; рыболовный; 3) обр. письмо; 4) 6-е число ( в телеграммах ); 5) Юй ( фамилия )	For *ŋh- cf. Xiamen hi 2 , Chaozhou hɨ 2 .	Sino-Tibetan etymology	Dialectal data	195	8577	0079 a-f				ngu'	ŋü4	ŋü5	ŋü4	10.3, 43.3			水蟲也.象形.魚尾與燕尾相似.凡魚之屬皆從魚. [575]
鳥	niǎo	tīwʔ	tī́w	tjǝ̄́w	tiǝ̄́w	tiḗw	tiḗw	tiḗw	tíew	bird	птица; птичий; птичий полет; в форме птицы, птицеобразный	Initial n- in Mand. is quite enigmatic.	Sino-Tibetan etymology	Dialectal data	196	4490	1116 a				d_iê`u				2.1, 32.4			長尾禽總名也.鳥之足以匕.從匕.凡鳥之屬皆從鳥.
鹵	lǔ	rhāʔ	rhā́	rhā́	rhā́	lhṓ	lhṓ	lhṓ	ló	salt; salty (e. g. land) [LZ]	1) солончаки; соленые колодцы (водоемы); 2) рассол; 3) грубый, неотесанный; небрежный; 4) негодный; 5) тупой, глупый, вм. 魯; 6) захватывать (уводить) в плен, см. 虜	For *rh- cf. Xiamen lɔ 6 , Fuzhou lo 6 .	Sino-Tibetan etymology		197	1918	0071 a-b											
鹿	lù	rōk	rōk	rōk	rōk	lōk	lōk	lwōk	luk	sika deer; deer in general	1) олень (Cervus sika); 2) императорская власть; 3) амбар, склад; 4) Лу ( фамилия )	For *r cf. Xiamen lɔk 8 , Fuzhou löük 8 , Jianou lu 8 (Chaozhou tek 8 is quite irregular).	Sino-Tibetan etymology	Dialectal data	198	6937	1209 a-d				lộc				23.2_			
麥	mài	mrǝ̄k	mrǝ̄k	mrǝ̄k	mrǝ̄k	mǝ̣̄k	miǝ̣̄k	miǝ̣̄k	mạik	wheat, barley	1) пшеница, хлебные злаки; 2) Май ( фамилия )	For *m- cf. Xiamen beʔ 8 , Chaozhou beʔ 8 , Fuzhou mak 8 , Jianou ma 8 . Possibly an Altaic loanword: cf. PA *mi̯urgu id.		Dialectal data	199	6279	0932 a-c					mɨ6	mɨ6	mɨ6	48.2_, 54.4_			
麻	má	mhrāj	mhrāj	mhrāj	mhrǟ	mhạ̄	mhạ̄	mhạ̄	mạ	hemp (Cannabis sativa)	1) конопля; пакля; лен; кунжут; гашиш; 2) одурманиться; онемение; оцепенеть; паралич; 3) рябины, оспины; 4) 6-е число ( в телеграммах ); 5) Ма ( фамилия )	Standard Sino-Viet. is ma. For *mh- cf. Shaowu mai 7 .		Dialectal data	200	6914	0017 a-b	me	ba	ma+;asa+	mè							
傍	páng	bhāŋ	bhāŋ	bhāŋ	bhāŋ	bhāŋ	bhāŋ	bhāŋ	bâŋ	side [Han]	1) бок, сторона, обочина; сбоку; 2) ключ [иероглифа]; 3) близиться, приближаться к...; дело идет к ( напр. к вечеру ), вм. 旁; 4) опираться; 5) посторонний; чужой; другой, вм. 旁; 6) Пан ( фамилия )	For *bh- cf. Min forms: Chaozhou phaŋ2, Longdu phoŋ2. There is also a derived reading *bhāŋ-s, MC bầŋ (FQ 蒲浪), Pek. bàng 'to come to the side, to approach'. Min dialects seem in this case to reflect a variant *bhāŋʔ (Fuzhou phauŋ6 - from *bhāŋ-s normally *phauŋ5 would be expected). See also 旁.			9	4242	0740 |m ́											
傅	fù	p(r)as	p(r)ah	p(r)ah	p(r)wah	pwò	pwò	pwò	pǜ	assist, assistant	1) учитель, наставник; учить; 2) помогать, поддерживать; 3) приближаться; примыкать; близкий, вм. 附; 4) накладывать ( краску ); 5) Фу ( фамилия )	Also used for *b(r)a-s (MC bǜ, Pek. fù) 'reach to, come to; close to, approach'.		Dialectal data	9	3190	0102 |u ́											
備	bèi	brǝʔs	brǝh	brǝh	brǝh	bɨ̀	bìj	bì	bì	be ready, complete, perfect, ample	1) подготовить, приготовить, иметь наготове; быть готовым; запасти; готовый; полный; полностью; совершенный; 2) детальный, подробный; 3) предупреждать, предотвращать; 4) для, ради	For *b- cf. Xiamen, Jianou pi 6 , Fuzhou pe 6 , Chaozhou pi 4 .		Dialectal data	9	3628												
傑	jié	grat	grat	grat	grat	get	get	get	get	of a surpassing quality	1) выдающийся, талантливый; особенный; талант; 2) герой; рыцарь; великодушный	For *g cf. Xiamen kiat 8 , Chaozhou, Fuzhou kiek 8 .	Sino-Tibetan etymology	Dialectal data	9	5222	0284 b											
傀	kuǐ										деревянная кукла; идол; петрушка; марионетка; [guī] 1) большой, великий; 2) удивительный, чудовищный				9	7467	0569 d											
傖	cāng										1) грубый; подлый, низкий; 2) обездоленный, бездомный				9	1121												
傘	sǎn	sānʔ	sā́n	sā́n	sā́n	sā́n	sā́n	sā́n	sấn	umbrella, sunshade [Han]	зонт; парашют	Originally written as 散 with the 120th radical. Viet. also has colloquial loans from the same source: tàn, tán 'umbrella'.		Dialectal data	9	2327					ta`n							
傚	xiào	grāws	grāwh	grāwh	grāwh	gạ̄̀w	gạ̄̀w	gạ̄̀w	ɣạ̀w	to imitate	подражать, копировать, вм. 效				9	6243	1166 u											
最	zuì	cōts	cwāć	cwāś	cwāś	cwāś	cwā̀j	cwā̀j	cwầj	collect, accumulate; to the highest degree [LZ]	1) весьма, чрезвычайно, очень; самый; высочайший; верховный; 2) всего, в итоге, итого; 3) собираться			Dialectal data	73	5927	0325 a-b											
凱	kǎi	khǝ̄jʔ	khǝ̄́j	khǝ̄́j	khǝ̄́j	khǝ̄́j	khǝ̄́j	khǝ̄́j	khʌ́j	name of the wind of the South	1) победа; победить; победный; триумф, торжество; 2) мирный, спокойный, благодатный, тихий	Perhaps s.w. as 豈 *khǝ̄jʔ 'be joyous' q.v.			16	7678	0548 b								32.1, 32.2			
割	gē	kāt	kāt	kāt	kāt	kāt	kāt	kāt	kât	to injure	1) отрезать, отделить; 2) прирезать ( землю от себя другому ); 3) урезать, скостить, уменьшить ( напр. ренту ); 4) косить, жать; 5) погубить ( напр. репутацию )	A somewhat later meaning (attested since L. Chou) is "to cut, clip". Viet.  cắt is colloquial; regular Sino-Viet. is cát.	Sino-Tibetan etymology	Dialectal data	18	2822	0314 d-e				cắt							
剴	kai														0	0												
創	chuàng									to start work	1) создавать, творить, изобретать; начинать; 2) наказывать, штрафовать; [chuāng] рана; ранить			Dialectal data	18	2817	0703 l											
剩	shèng										остаток; излишек; излишний; избыток; оставаться			Dialectal data	18	2895												
勞	láo	rāw	rāw	rāw	rāw	lāw	lāw	lāw	lâw	to toil, tire	1) труд, работа; трудиться, работать; 2) тяжелый, утомительный; утруждать(ся), уставать, изнурять(ся); 3) заслуга; [lào] благодарить за труды	Also read *rāw-s, MC lầw (FQ 郎到) 'to recompense, reward toil'. For *r- cf. Min forms: Xiamen lo 2 , Chaozhou lau 2 , Fuzhou lɔ 2 , Jianou lau 9 .	Sino-Tibetan etymology	Dialectal data	19	4741	1135 a								28.3, 32.1_, 32.3, 33.2, 57.3_, 58.5_			
勝	shèng shēng	ƛǝŋ	ƛǝŋ	l̥ǝŋ	śǝŋ	śɨŋ	śɨŋ	śɨŋ	śiŋ	be equal to one's task, keep up with, be worthy of	1) победа; побеждать; триумф; одержать верх, выиграть, одолеть; победный, триумфальный; побежденный; прошлый ( о династии ); 2) превосходить; прекрасный, блестящий, превосходный; знаменитый; достопримечательность; лучше, чем...; важнее, чем...; быть сильным ( в чем-л. ); 3) легко, весело; 4) историческое место; реликвия; 5) женская прическа; 6) Шэн ( фамилия ); [shēng] 1) справиться с... ( напр. с работой ); соответствовать ( напр. служебному положению ); подходить для..., годиться; 2) до конца	Also read *ƛǝŋ-s, MC śìŋ, Mand. shèng, Viet. thắng 'to conquer, vanquish, overcome'.		Dialectal data	19	4752	0893 p				thăng							
勛	xun														0	0												
博	bó	pāk	pāk	pāk	pāk	pāk	pāk	pāk	pâk	be wide	1) обширный, широкий; богатый; всеобщий; 2) расширить; распустить ( напр. пояс ); 3) знающий, начитанный, эрудированный; 4) широко, в больших масштабах; отовсюду; 5) приобретать, заполучать; 6) азартные игры; 7) Бо ( фамилия )		Sino-Tibetan etymology	Dialectal data	24	3192	0771 a-c											
厥	jué	kʷat	kwat	kwat	kwat	kwat	kwǝt	kwǝt	kwǝt	his, her, its, their; (rarely) he, she, it, they	1) он, тот, этот, данный; его; 2) удушье; одышка; задыхаться, вм. 瘚				27	4820	0301 c											
啻	chì									only	1) только; 2) с отрицанием а) не что иное, как...; б) не только				30	1339	0877 k											
喀	kà										1) подавиться, поперхнуться; рыгать; 2) сокр. г. Кашгар				30	1409	0766 |o ́-p ́											
喧	xuān	swarʔ	w̥án	w̥án	hjwán	hjwán	hjwǝ́n	hjwǝ́n	xwǝ́n	= 咺 q.v.	кричать, галдеть				30	31	0164 x											
啼	tí	dhē	dhē	dhē	dhiē	dhiēj	dhiēj	dhiēj	diej	weep, howl [LZ]	1) плакать; выть; визжать; 2) каркать	For *dh cf. Chaozhou thi 2 , Fuzhou thä 2 , Jianou thi 2 .		Dialectal data	30	3899	0877 g											
喊	hǎn										громко кричать, звать; крик			Dialectal data	30	6843												
喝	hē hé	hāt	hāt	hāt	hāt	hāt	hāt	hāt	xât	to yell, cry (angrily) [LZ]	1) пить; 2) о! ( восклицание удивления ); [hé] кричать; звать	Regular Sino-Viet. is hát. The earliest attested usage of the character  (Han) is for *ʔrāts, MC ʔạ̀j, Mand. yè 'to cry (with a constrained voice)'.  In modern Mand. the character is most frequently used for hē 'to drink' (with  an unattested MC reading).			30	4280	0313 k				hét							
喘	chuǎn	thorʔ	thón	thón	ćhón	ćhón	ćhón	ćhón	ćhwén	to puff, short of breath [L.Zhou]	1) часто и тяжело дышать; задыхаться; астма; 2) дыхание			Dialectal data	30	3676	0168 j	sen	sen	sen;zen;aegu								
喂	wèi										1) междометие эй!, алло!; 2) кормить, содержать, см. 餵; 3) бояться, см. 畏				30	5625	0523 g											
喜	xǐ									to rejoice	1) радость, веселье; счастье, удача; веселый, радостный; счастливый; своевременный ( напр. дождь ); радостное событие, праздник; праздничный; 2) любить; находить удовольствие в...			Dialectal data	30	1236	0955 a-d											
喪	sāng	sāŋ	sāŋ	sāŋ	sāŋ	sāŋ	sāŋ	sāŋ	sâŋ	to mourn; burial	траур; носить траур; траурный; похороны; [sàng] умереть, погибнуть; лишиться; терять(ся)	Also read *sāŋ-s, MC sầŋ (FQ 蘇浪), Mand. sàŋ 'to lose, disappear, perish, ruin'. A reconstruction *snhāŋ (suggested by hsieh-sheng) is not excluded - in that case, however, we have to suppose an irregular (dialectal) development in MC (a normal reflex would be MC *thâŋ).	Sino-Tibetan etymology	Dialectal data	30	5632	0705 a-d				tang				31.3, 35.4_			
喔	ō	ʔrōk	ʔrōk	ʔrōk	ʔrōk	ʔọ̄k	ʔọ̄k	ʔọ̄k	ʔạuk	sound of cackling [L. Zhou]		Usually reduplicated; first attested in Chuci. In Mand. the word is also read wō and wò.			0	0		aku	aku	aku								
喇	la														0	0												
喋	dié										1) болтать; болтовня; болтливость; 2) сочиться ( напр. кровью ); [zhà dié] заглатывать, глотать ( о птицах )				30	5165												
喃	nan														0	0												
喳	chā										喳喳 1) пение птиц; гомон; 2) шопот				30	51												
單	dān	tār	tān	tān	tān	tān	tān	tān	tân	single, unit	1) нечетный, непарный; 2) единичный; единица; разряд единиц; 3) простой; ординарный; 4) список; счет; 5) худой, слабый; 6) единственно, только; в отдельности; [shǎn] Шань ( фамилия , собственное имя )		Sino-Tibetan etymology	Dialectal data	30	2587	0147 a-d				d_o'n							
喟	kuì										вздыхать; вздох; ох!, ах!; одышка				30	3538												
唾	tuò	thōjs	thwājh	thwājh	thwǟh	thwā̀	thwā̀	thwā̀	thwầ	spit [LZ]	прям., перен. плевать; плевок; с пренебрежением		Sino-Tibetan etymology		30	407	0031 m											
喲	yo														0	0												
喚	huàn										1) кричать; звать; приглашать; 2) называть, обзывать; 3) приказывать			Dialectal data	30	4914												
喻	yù	los	loh	lwah	źwah	źwò	jwò	jwò	jǜ	to compare; comparison, metaphor, explanation [L.Zhou]	1) метафора, аллегория; иносказательный; говорить метафорами; намекать; 2) сравнивать; сравнение; 3) уяснить, понять; быть сведущим; быть сильным в...; знать толк в ( чем-л. ); 4) Юй ( фамилия )	Standard Sino-Viet. is dụ; for the nasalisation cf. Chinese dialectal forms: Xiamen lu 6 , Chaozhou zu 4 (pointing to *ń-).	Sino-Tibetan etymology	Dialectal data	30	8770	0125 c				nhu`							
喬	qiáo	g(r)aw	g(r)aw	g(r)aw	g(r)aw	gew	gew	gew	gew	be tall	1) высокий; возвышенный; величественный; 2) гордый, заносчивый; 3) маскироваться под..., гримироваться, рядиться; 4) Цяо ( фамилия )	For initial *g- cf. Xiamen kiau 2 , Fuzhou kieu 2 (Chaozhou khiǝu 2 is secondary). The character is also used in inscriptions as a loan for 鷮 *kaw / *gaw 'a k. of pheasant'.  See 高.	Sino-Tibetan etymology	Dialectal data	115	3758	1138 a-b								9.1			高而曲也.從夭.從高省.
喱	li														0	0												
啾	jiū										звукоподражание плачу ребенка, писку комара, свисту птицы				30	5460	1092 e											
喉	hóu	gh(r)ō	gh(r)ō	ɣwā	ɣwā	ɣōw	ɣǝ̄w	ɣǝ̄w	ɣʌw	throat	гортань, горло; глотка	For OC *gh- cf. Xiamen, Chaozhou au 2 .	Sino-Tibetan etymology	Dialectal data	30	5047	0113 f					ku7-	ku7-	-qü7				
喫	chī	khēk	khēk	khēk	khiēk	khiēk	khiēk	khiēk	khiek	to eat, drink, swallow [Han]	вм. 吃	Karlgren gives a LZ reading *khrāts (MC khạ̀j) 'energetic' - very dubious and not attested elsewhere. The reading *khēk is attested since Han; modern chĭ is quite irregular.			30	4930	0279 h											
喙	huì	ƛ(h)ots	ƛ(h)wać	l̥waś (~ ƛh-)	l̥waś	hwaś	hwǝ̀j	hwǝ̀j	xwǝ̀j	to pant	клюв; морда	Used for a homonymous word meaning "snout" in LZ. The MC reading xwǝ̀j is irregular, as is the alternative MC reading ćhwèj (Pek. chùi); we would rather expect MC śwèj ( < *ƛot-s) or ṭhwèj ( < *ƛhot-s).			30	5600	0171 i											
圍	wéi	wǝj	wǝj	wǝj	wǝj	wɨj	wɨj	wɨj	wɨj	a section of the realm	1) окружать; осаждать; обхват; охват; вокруг; со всех сторон; обойти кругом; 2) облава; осада; 3) ловля ( зверей ); 4) мерка ( для измерения окружности ); 5) полог ( над постелью )	Later more widely used in the general meaning 'to surround, encircle'.Standard Sino-Viet. is vi. For *w cf. Xiamen, Chaozhou, Fuzhou ui 2 .		Dialectal data	31	1848	0571 g				vây							
堯	yáo	ŋēw	ŋēw	ŋjāw	ŋiāw	ŋiēw	ŋiēw	ŋiēw	ŋiew	proper name	1) Яо ( легендарный император Китая, 2156 г. до н. э. ); 2) высокий, выдающийся; возвышенный, славный; 3) Яо ( фамилия )	The meaning 'high' is attested during Late Zhou. For *ŋ cf. Fuzhou ŋieu 2 , Jianou iau 9 .			32	7312	1164 a											
堪	kān	khǝ̄m	khǝ̄m	khǝ̄m	khǝ̄m	khǝ̄m	khǝ̄m	khǝ̄m	khʌm	be equal to, able to bear	1) выносить, терпеть; 2) мочь, быть в состоянии; годиться		Sino-Tibetan etymology	Dialectal data	32	756	0658 p				kham							
場	cháng	Łaŋ	Łaŋ	laŋ	źaŋ	źaŋ	źaŋ	źaŋ	ḍaŋ	unploughed fields in  mountains,i.e. a meadow	1) площадь; арена, сцена; 2) место; помещение; 3) цех; 4) театральное представление, сеанс, спектакль; 5) счетный суффикс для явлений природы, процессов и т. д.	The word also means 'vegetable garden, threshing arena, fenced-in area'  (probably etymologically the same word). In MC we have here a very rare case of preserving ḍ- < *Ł- (normally *jaŋ would be expected); for unaspirated *Ł- cf. Xiamen tiũ 2 , Chaozhou tĩẽ 2 , Fuzhou tioŋ 2 , Jianou tiɔŋ 9 .	Sino-Tibetan etymology	Dialectal data	32	4381	0720 x				tru'ò'ng							
堤	dī	tē	tē	tē	tiē	tiēj	tiēj	tiēj	tiej	dike, dam [L.Zhou]	1) дамба, плотина; 2) предупреждать; остерегаться			Dialectal data	32	5861	0866 k				d_ê							
堰	yàn										дамба, плотина, запруда				32	816												
報	bào	pūʔs	pūh	pūh	pūh	pū̀	pū̀	pū̀	pầw	to plait, interweave	1) отплатить, воздать должное; воздаяние; мзда; 2) доносить; докладывать; информировать; извещать; заявлять; доклад; донесение, рапорт; извещение; заявка; 3) газета; пресса; 4) результат	More widely used with the meaning 'to repay, requite, reward, respond,  announce'. Sch. considers it to be a metaphorical shift of 'plait,  interweave', but external evidence is rather against such an interpretation.	Sino-Tibetan etymology	Dialectal data	32	5955	1058 a-b				báo				29.2_, 29.4			
堡	bǎo	pūʔ	pū́	pǝ̄́w	pǝ̄́w	pǝ̄́w	pā́w	pā́w	pấw	small fort, stronghold [L.Zhou]	1) крепостца, городок; 2) деревня, селение ( в собственных именах )			Dialectal data	32	217												
堝	guo														0	0												
堠	hou														0	0												
壹	yī										1) единственный; одиночный; однажды; 2) один ( прописью, вм. 一); 3) объединить; единство	= 一 q.v.			33	576	0395 a											
壺	hú	g(h)ā	g(h)ā	gā (~ ɣ-)	gā (~ ɣ-)	gā (~ ɣ-)	gā (~ ɣ-)	gā (~ ɣ-)	ɣo	bottle gourd (Lagenaria leucantha); a pitcher	1) чайник ( для чая и вина ); фляга; 2) наливать в чайник; 3) Ху ( фамилия )	Viet. hũ is probably a late loan; regular Sino-Viet. is hồ.		Dialectal data	33	518	0056 a-d				hũ			vu2				
奠	diàn	d(h)īŋs	d(h)īŋh	d(h)īŋh	d(h)īŋh	d(h)ī̀ŋ	d(h)ī̀ŋ	d(h)ī̀ŋ	dìen	to put down, set forth, offer		MC has also a parallel reading dìeŋ (either a dialectal development of *d(h)īŋ-s, or reflecting an old variant *d(h)ēŋ-s). For etymology cf. 整.			0	0	0363 a-d								15.3			
婷	ting														0	0												
媚	mèi	mrǝjʔs	mrǝjh	mrǝjh	mrǝś	miś	mìj	mì	mì	be lovable, favoured	1) привлекательный, миловидный; 2) льстивый; льстить, угождать, заискивать; заигрывать	See 娓 *mǝjʔ fine, nice, 美 *mrǝjʔ beautiful, pretty.			38	1682	0567 d-e											
婿	xù	sēs [ē?]	sēh	sēh	siēh	siḕj	siḕj	siḕj	sìej	son-in-law [LZ]	1) муж дочери, зять; 2) муж	Phonetic is 胥 *sa, so the MC reading sìej is not quite clear (modern xǜ would also point to some sort of *-a final; however, it may have been influenced by other characters with 胥 as phonetic).	Sino-Tibetan etymology	Dialectal data	38	3567	0090 i											
媒	méi	mǝ̄	mǝ̄	mǝ̄	mǝ̄	mǝ̄	mǝ̄	mǝ̄j	moj	match-maker, go-between	1) сват, сваха; посредник; посредничать; 2) возбуждать, проводить; проводник; фермент; закваска; возбудитель; 3) приманка, ловушка	Regular Sino-Viet. is môi. For *m cf. Xiamen m 2 , Chaozhou bue 2 , Fuzhou muoi 2 .		Dialectal data	38	5180	0948 c				mai				58.1_			
媛	yuàn	w(h)ans	w(h)anh	w(h)anh	w(h)anh	w(h)àn	w(h)ǝ̀n	w(h)ǝ̀n	wǝ̀n	a beauty	красавица	During LZ borrowed for OC *w(h)an (MC wǝn, Pek. yuán) 'distracted, embarrassed'.			38	5980	0255 g								47.3_			
媧	wā										女媧 миф. Нюйва ( сестра сказочного императора Фуси )				39	3854												
孳	zī										народить, расплодить; выкормить; размножиться				39	3089	0966 k											
孱	chán	ʒ́(h)ren	ʒ(h)ren	ʒ̣(h)jan	ʒ̣(h)jan	ʒ̣(h)jen	ʒ̣(h)jen	ʒ̣(h)jen	ʒ̣en	timid [LZ]	1) слабый, болезненный; 2) плохой, дурной	Also read *ʒ́(h)rēn, MC ʒ̣ạ̈n, Pek. chán id.			39	3040	0208 a											
寒	hán	gān	gān	gān	gān	gān	gān	gān	ɣân	be cold	1) зима; зимний; мороз; морозный; стужа, холод; холодный; озябнуть, дрожать ( от холода ), трястись; похолодеть ( от ужаса ); 2) остыть, охладеть ( к чему-л. ); 3) заморозить ( дело ); прийти в запустение; бедный, убогий, жалкий, бесприютный; 4) унич. мой; 5) 14-у число ( в телеграммах ); 6) Хань ( фамилия )	For *g- cf. Min forms: Xiamen kuã 2 , Fuzhou kaŋ 2 , Jianou kuiŋ 6 ( < *gần).	Sino-Tibetan etymology	Dialectal data	40	8872	0143 a-c				hàn				32.3			
富	fù	puks	puh	pǝwh	pǝwh	pìw	pǝ̀w	pǝ̀w	pǝ̀w	be rich, wealth	1) богатство; богатый; обильный; зажиточный; сокр. уст. кулак; 2) урожайный, щедрый ( о земле ); 3) в расцвете ( лет ); в зрелом возрасте; 4) обогатить, сделать богатым; озолотить; 5) Фу ( фамилия )	Cf. 福.	Sino-Tibetan etymology	Dialectal data	40	1734	0933 r											
寓	yù	ŋos	ŋoh	ŋwah	ŋwah	ŋwò	ŋwò	ŋwò	ŋǜ	to dwell, live, dwelling [L.Zhou]	1) проживать; останавливаться; приютиться; жить на чужбине; жилище, квартира; помещение ( напр. для приезжих ); 2) поручать, доверять; 3) иносказательный, метафорический; аллегория	For *ŋ- cf. Xiamen 6 , Chaozhou ŋo 4 , Fuzhou ŋü 6 .		Dialectal data	40	4000	0124 c-e				ngụ							
寐	mèi	m(h)ijs	m(h)ić	m(h)jǝś	m(h)jǝś	m(h)jiś	m(h)jìj	m(h)jì	mjì	to sleep	спать		Sino-Tibetan etymology		40	5331	0531 i-j								1.2, 26.1, 30.3_, 30.4, 56.1, 56.2, 56.3, 58.5			臥也.從夢省.未聲.
尊	zūn	cūn	cwǝ̄n	cwǝ̄n	cwǝ̄n	cwǝ̄n	cwǝ̄n	cwǝ̄n	con	to honor; to perform the 宜 yi sacrifice; honorable; ritual vessel	1) уважать, почитать, благоговеть; почтенный, знатный, высокопоставленный; вежл. Вы; Ваш; 2) чаша, чарка; 3) счетный суффикс для артиллерийских орудий , статуй		Sino-Tibetan etymology	Dialectal data	41	3177	0430 a-h				tôn							
尋	xún	lhǝm	lhǝm	lhǝm	zhǝm	zhim	zhim	zhim	zjim	a measure (8 尺)		During Early Zhou used also for homonymous *lhǝm 'to warm up' and *lhǝm 'renew'. The meaning 'to seek, search' emerges during Late Zhou (it is not quite clear whether it is archaic or somehow derived from 'renew'?), but becomes widely spread only since Jin. Modern Chinese has also a more standard reading xín. Viet., besides standard tầm, has another loan from the same source: tìm 'to seek, search, look for'.	Sino-Tibetan etymology	Dialectal data	0	0	0662 a	zimu	simu		tầm							
就	jiù	ʒ(h)uks	ʒ(h)uh	ʒ(h)ǝwh	ʒ(h)jǝwh	ʒ(h)jìw	ʒ(h)jìw	ʒ(h)jìw	ʒjǝ̀w	to go to, come to, proceed; achieve, accomodate	1) подойти близко, приблизить(ся), пододвинуть(ся) к...; 2) занять ( место, пост ); становиться на... ( напр. точку зрения ); 3) перейти; стать; 4) сопутствовать; попутно, вместе с...; 5) успешно завершить; успех; 6) сейчас же, немедленно; на месте; 7) то, тогда, в таком случае; перед сказуемым в главном предложении подчеркивает связь с действием временного, условного, причинного придаточного ; 8) только; 9) даже; 10) именно; как раз		Sino-Tibetan etymology	Dialectal data	43	7543	1093 a				tụ'u				35.4			
嵌	qiān	khrām	khrām	khrām	khrām	khạ̄m	khạ̄m	khạ̄m	khạm	to encrust, inlay [Tang]	1) оправа; оправлять; инкрустация; 2) конопатить, заделывать ( щели ); 3) глубокий ( об ущелье )	Used also for the homonymous MC khạm (OC *khrām) 'deep pit'. Guangyun  lists also an unclear MC reading ʒл́m. Tones are not clear: the MC form in  Guangyun has 平聲, Mand. qiàn points to 去聲, while Viet. kha`m - to 上聲.			46	4798					kha`m							
嵐	lán										туман в горах				46	7662												
崴	wei														0	0	0574 d											
嵇	jī	kīj	kīj	kjǝ̄j	kiǝ̄j	kiēj	kiēj	kiēj	kiej	to cultivate (field)	1) сокр. Цзишань ( гора в провинции Хэнань ); 2) Цзи ( фамилия )		Sino-Tibetan etymology		46	988												
巽	xùn										1) уступать; уступчивый, мягкий; скромный, см. 遜; 2) Сюнь ( название триграммы в Ицзине ); 3) юго-восток				49	7860	0433 a											
幅	fú	pǝk	pǝk	pǝk	pwǝk	pwɨk	puk	puk	pük	strap round the leg	1) полотнище; полоса материи; полоса, свиток ( картина, надпись ); счетный суффикс для картин и плакатов ; 2) край, граница; пограничная линия	With this meaning also read bī, MC pɨk, OC *prǝk. More widely used with  the meaning 'wide', with an only reading fú, MC pük, OC *pǝk.			50	1729	0933 k											
帽	mào	mūks	mūh	mǝ̄wh	mǝ̄wh	mǝ̄̀w	mā̀w	mā̀w	mầw	hat, cap [Han]	1) шляпа; шапка; 2) наконечник; колпак; капсюль	Viet. mũ is a Han-time loanword; standard Sino-Viet. is mạo. For *m cf. Xiamen bɔ̃ 6 , Chaozhou bo 6 , Jianou mo 6 . The word is quite probably of Austric origin, cf. Thai hmuak, PAA *mVk 'hat, cap'.		Dialectal data	50	1694					mũ							
幀	zheng														0	0												
幃	wéi										1) полог; 2) мешочек с ароматическими веществами; 3) см. 帷				50	2538	0571 h-i											
幾	jī	kǝj	kǝj	kǝj	kǝj	kɨj	kɨj	kɨj	kɨj	small		Also read *kǝjʔ, MC kɨ́j, Pek. jǐ 'few, a while, how many'; *kǝj 'be near, close'.	Sino-Tibetan etymology	Dialectal data	0	0	0547 a-b											
廊	láng	rāŋ	rāŋ	rāŋ	rēŋ	lēŋ	lēŋ	lēŋ	lâŋ	side-building, side-gallery [LZ]	веранда, терраса, галерея; коридор	For *r cf. Xiamen nŋ 2 , Chaozhou laŋ 2 , Fuzhou loŋ 2 , Jianou lɔŋ 2 .		Dialectal data	53	2208	0735 t											
