Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
堁	kè	khʷājs	khwājh	khwājh	khwǟh	khwā̀	khwā̀	khwā̀	khwầ	dust [LZ]					0	0	0351 e											
堍	tu														0	0												
婕	jie														0	0												
婧	jing														0	0												
婞															0	0	0810 c											
娵	jū	ćo	co	cwa	cjwa	cjwo	cjwo	cjwo	cjü	part of name of a constellation [LZ]					0	0	0131 i											
婭	yà	ʔrāks	ʔrāh	ʔrāh	ʔrǟh	ʔạ̄̀	ʔạ̄̀	ʔạ̄̀	ʔạ̀	name of a wife's sister in relation to another wife's sister [Han]	свояк	Etymologically probably = 亞 q.v.			38	515		e	a	e;a;aimuko								
婐	yín	ʔʷājʔ	ʔwā́j	ʔwā́j	ʔwǟ́	ʔwā́	ʔwā́	ʔwā́	ʔwấ	servant girl [LZ]	распутничать; развратный, см. 淫				38	309	0351 n-o											
婬	yín										распутничать; развратный, см. 淫				38	309												
婤															0	0	1083 f-g											
寁	cǎi	ʒ(h)ap	ʒ(h)ap	ʒ(h)ap	ʒ(h)jap	ʒ(h)jap	ʒ(h)jap	ʒ(h)jap	ʒjep	to brusque	казенные земли	Also read *cǝ̄mʔ, MC cл́m, Pek. zǎn id.	Sino-Tibetan etymology		40	5280	0636 c											
寀	cǎi										казенные земли				40	5280												
屙	e														0	0												
崞	guo														0	0												
崍	lai														0	0												
崦	yān										сокр. г. Яньшань ( в провинции Ганьсу )				46	7277												
崒	yín	ʒ(h)ut	ʒ(h)wǝt	ʒ(h)wǝt	ʒ(h)jwǝt	ʒ(h)jwit	ʒ(h)jwit	ʒ(h)jwit	ʒjwit	craggy mass; precipice	отвесные горы; высокий; обрывистый	Not in Schüssler's dictionary (although attested in Shijing). The Viet.  form has a wrong tone, and may be influenced by chót 'end, last' ( < Chin. 卒 q.v.).			46	370	0490 c				chót							
崟	yín										отвесные горы; высокий; обрывистый				46	370												
崮	gu														0	0												
帾	dǔ	tāʔ	tā́	tā́	tā́	tṓ	tṓ	tṓ	tó	banner [LZ]					0	0	0045 |b ́											
庹	tuo														0	0												
庳	bi														0	0	0874 m											
悊	zhé	trat	trat	ṭat	ṭat	ṭet	ṭet	ṭet	ṭet	= 哲 q.v.					0	0	0287 d-f											
悐															0	0	0856 e											
悆	yù	Łas	Łah	lah	źah	źò	jò	jò	jö̀	pleased					0	0	0082 g-h											
悾	kōng										верный; откровенный				61	113	1172 z											
惔	tán	l(h)ām	l(h)ām	l(h)ām	l(h)ām	d(h)ām	d(h)ām	d(h)ām	dâm	be aflame, burning			Sino-Tibetan etymology		0	0	0617 k											
惏															0	0	0655 j											
惙	chuò	trot	trwat	ṭwat	ṭwat	ṭwet	ṭwet	ṭwet	ṭwet	be gulping, sobbing	плакать*	Also written with radical 30 ('mouth'). Modern ch- is irregular (zhuò would be expected normally).			61	9999	0295 d								14.2_			
惝	chang														0	0	0725 l											
悱	fei														0	0	0579 h											
惛	hūn	sm(h)ǝ̄n	(s)m̥ǝ̄n	(s)m̥ǝ̄n	m̥ǝ̄n	hwǝ̄n	hwǝ̄n	hwǝ̄n	xon	stupid, darkened in mind	1) глупый; 2) забывчивый; 3) помраченный рассудком		Sino-Tibetan etymology		61	1571	0457 n											
悷															0	0	0532 b											
惀															0	0	0470 g											
挲	sa														0	0												
掊	póu	pōʔ	pṓ	pwā́	pwā́	pṓw	pǝ̄̀w	pǝ̄̀w	pʌ́w	to beat, crush [LZ]	1) брать горстью, загребать; 2) собирать, взимать; [pǒu] 1) бить, колотить; выколачивать; 2) вскрывать, вм. 剖	Modern pǒu is irregular. The character is also (since Han) used as a loan for 裒 *bhrō q.v.			64	1230												
掂	diān										1) взвешивать на руке; 2) прикидывать, рассчитывать				64	1266												
捽	zú	cūt	cwǝ̄t	cwǝ̄t	cwǝ̄t	cwǝ̄t	cwǝ̄t	cwǝ̄t	cot	to grasp, pull [L.Zhou]	1) схватить (взять) рукой; 2) тащить (тянуть) за...; вытаскивать	Also read *cut, MC cjwit id. Standard Sino-Viet. is tốt.			64	2308	0490 b				tuốt							
掭	tiàn										1) припустить фитиль ( прибавить огня ); 2) обмакнуть ( напр. кисточку в тушь ); 3) натравить; раздразнить				64	8332												
掗	yà										1) навязывать; 2) размахивать; 3) держать в руках				64	513												
掫	zōu	ćō	cō	cwā	cwā	cōw	cǝ̄w	cǝ̄w	cʌw	beat night watches [LZ]		Also read *ćo (MC cjü, Pek. jū id.); *ćruʔ (MC c̣ǝ́w, Pek. zǒu) id.			0	0	0131 m											
掎	ǰi	kajʔ	káj	káj	káj	káj	káj	káj	ké	to pull aside			Sino-Tibetan etymology		0	0	0001 y											
掇	duò	tōt	twāt	twāt	twāt	twāt	twāt	twāt	twât	to pick, gather	1) подбирать, собирать; подгонять ( одно к другому ); приводить в порядок, убирать; 2) отнимать, отбирать; грабить; 3) компилировать	Also read OC *trot, MC ṭwet (FQ 陟劣), Pek. zhuo id.	Sino-Tibetan etymology		64	5940	0295 h								8.2_			拾取也.從手.#聲. [605]
掐	qiā										1) схватить когтями; вонзить когти; 2) срывать ( цветы ); 3) загибать ( пальцы ); 4) гадать			Dialectal data	64	1043												
据	jù										схватить, держать, вм. 據; [jū] 拮据 искалеченные руки; перен. тяжелое положение				64	1292												
掜															0	0	0873 g											
捭	bai														0	0	0874 r											
掮	nuó										тереть, мять, теребить; [suī] древн. пища, приносимая в жертву				64	8848												
捼	nuó										тереть, мять, теребить; [suī] древн. пища, приносимая в жертву				64	8848												
掤	bīng	prǝŋ	prǝŋ	prǝŋ	prǝŋ	piŋ	piŋ	piŋ	piŋ	a quiver					0	0	0886 n											
挻	shān	ƛan	ƛan	l̥an	śan	śen	śen	śen	śen	supple [LZ]					0	0	0203 f											
敓	duó	Ł(h)ōt	Ł(h)wāt	lwāt (~ Łh-)	lwāt (~ lh-)	d(h)wāt	d(h)wāt	d(h)wāt	dwât	to snatch					0	0	0324 j-k											
晡	bǔ										1) после полудня, под вечер; вечереть; 2) запад				72	3648												
晛	xiàn									sunlight					0	0												
晢	zhē	tat	tat	tat	ćat	ćet	ćet	ćet	ćet	bright		Also read *tat-s, MC ćèj, Pek. zhì id.			0	0	0287 i-j	seti	setu	setsu;sechi;akiraka;akarui								
朘	zuī	cūj (~ -r)	cwǝ̄j	cwǝ̄j	cwǝ̄j	cwǝ̄j	cwǝ̄j	cwǝ̄j	coj	genitalia of a baby			Sino-Tibetan etymology		0	0												
桹															0	0	0735 i-j											
梐															0	0	0566 |b ́											
梜															0	0	0630 f											
桭	zhēn									be numerous, in a flock					0	0												
梮															0	0	1214 d											
桯															0	0	0835 y											
梩	lí	r(h)ǝ	r(h)ǝ	r(h)ǝ	r(h)ǝ	l(h)ɨ	l(h)ɨ	l(h)ɨ	lɨ	shovel	1) корзина для переноски земли; 2) деревянный сошник		Sino-Tibetan etymology		75	435												
桴	fu														0	0	1233 k											
梲	zhuó	tot	twat	twat	ćwat	ćwet	ćwet	ćwet	ćwet	short pillars, supporting rafters of house [LZ]		The character is also used as a loan for 銳 and 脫 q.v.; the reading *tot is therefore dubious.  This could be an irregular MC reflex (ćwet instead of *śwet < OC *ƛot).			0	0	0324 n											
梏	gù									perhaps: restrainer	1) ручные колодки; надеть ручные колодки; 2) надевать кангу на шею; перен. издеваться, позорить				75	1321												
桷	jué									rafter, horizontal branch	брус, брусок				75	3621	1225 d											
桫	suo														0	0												
梠	lǚ	r(h)aʔ	r(h)á	r(h)á	r(h)á	l(h)ó	l(h)ó	l(h)ó	lö́	beam supporting rafters of roof [Han]		Attested already in bronze inscriptions, but text examples appear only since Han.			0	0	0076 e-f											
梌	tú	Ł(h)ā	Ł(h)ā	lā (~ Łh-)	lā (~ lh-)	d(h)ō	d(h)ō	d(h)ō	do	a k. of tree		Attested in Yin inscriptions.			0	0	0082 y-z											
欶	shuài	srōk	srōk	ṣōk	ṣōk	ṣọ̄k	ṣọ̄k	ṣọ̄k	ṣạuk	suck, inhale			Sino-Tibetan etymology		0	0												
欷	xī										欷吁 всхлипывать; вздыхать				76	4819	0549 d											
欸	ǎi										欸乃 плеск весел; [èi] да!, так!; [āi] междометие ай!, ой!, ох!				76	4832	0938 d											
殍	piao														0	0	1233 i											
氪	ke														0	0												
淀	diàn										1) мелководье; 2) см. 甸				85	5881												
涫	guàn	kʷāns	kwānh	kwānh	kwānh	kwā̀n	kwā̀n	kwā̀n	kwần	to bubble [LZ]					0	0	0157 f											
涬															0	0	0810 d											
