Character	Number	Chinese etymology	MC description	ZIHUI	Beijing	Jinan	Xi'an	Taiyuan	Hankou	Chengdu	Yangzhou	Suzhou	Wenzhou	Changsha	Shuangfeng	Nanchang	Meixian	Guangzhou	Xiamen	Chaozhou	Fuzhou	Shanghai	Zhongyuan yinyun
寸	38	Chinese etymology	臻合一去慁清	1407 2169	chuǝn 3	chuẽ 3	chuẽ 3	chuŋ 3	chǝn 3	chǝn 3	chuǝn 3	chǝn 31	chö 31	chǝn 31	chuǝn 31	chun 2	chun 3	čhyn 31	chun 31	chuŋ 31	chauŋ 31	chǝŋ 3	chuǝn 3
小	39	Chinese etymology	效開三上小心	1420 1476	śiau 2	śiɔ 2	śiau 2	śiau 2	śiau 2	śiau 2	śiɔ 2	siä 2	śiɛ 21	siau 2	śiǝ 2	śiɛu 2	siau 2	šiu 21	siau 2  (lit.); sio 2	siǝu 21	sieu 2	ziɔ 32	siau 2
山	40	Chinese etymology	山開二平山生	1472 1727	ṣan 11	ṣã 11	sã 11	sä̃ 1	san 11	san 11	sɛ̃ 11	se_ 11	sa 11	san 11	sã 11	san 11	san 11	šān 11	san 11 (lit.); suã 11	suã 11	saŋ 11	se_ 1	šan 1
川	41	Chinese etymology	山合三平仙昌	1557 1942	c̣huan 11	c̣huã 11	pfhã 11	chuä̃ 1	chuan 11	chuan 11	chuõ 11	chö 11	ćhy 11	ćhyẽ 11	thuĩ 11	chɔn 11	chɔn 11	čhyn 11	chuan 11	chueŋ 11	chuɔŋ 11	chö 1	čhyen 1
工	42	Chinese etymology	通合一平東見	1562 2685	kuŋ 11	kuŋ 11	koŋ 11	kuŋ 1	koŋ 11	koŋ 11	kɔuŋ 11	koŋ 11	koŋ 11	koŋ 11	kaŋ 11; kǝn 11	kuŋ 11	kuŋ 11	kuŋ 11	kɔŋ 11	kaŋ 11	kuŋ 11	koŋ 1	kuŋ 1
己	43	Chinese etymology	A: 止開三上止見; B: 止開三上止以	A: 1569 0644; B: 1571 0716	A: ; B: i 2	A: ; B: i 11	A: ći 2; B: i 2	A: ći 2; B: i 2	A: ći 2; B: i 2	A: ći 2; B: i 2	A: ći 2; B: i 2	A: ći 2; B: i 31	A: ci_ 21; B: ɦi 22	A: ći 2; B: i 2	A: ći 2; B: i 2	A: ći 2; B: i 2	A: ki 2; B: ji 2	A: kei 21; B: ji 22	A: ci 32 (lit.); ki 2; B: i 2	A: ki 21; B: i 21	A: ki 2; B: i 2	A: ći 3; B: i 1	A: ki 2; B: i 2
巾	44	Chinese etymology	臻開三平真見	1577 2117	ćin 11	ćiẽ 11	ćiẽ 11	ćiŋ 1	ćin 11	ćin 11	ćĩ 11	ćin 11	ćiaŋ 11	ćin 11	ćin 11	ćin 11	kin 11	kan 11	kun 11	kɨŋ 11	kyŋ 11	ćiŋ 3	kiǝn 1
干	45	Chinese etymology	山開一平寒見	1626 1738	kan 11	kã 11	kã 11	kä̃ 1	kan 11	kan 11	kɛ̃ 11	kö 11	ky 11	kan 11	kuɛ̃ 11	kɔn 2	kɔn 11	kɔn 11	kan 11	kaŋ 11	kaŋ 11	kö 1	kan 1
弓	46	Chinese etymology	通合三平東見	1712 2686	kuŋ 11	kuŋ 11	koŋ 11	kuŋ 1	koŋ 11	koŋ 11	kɔuŋ 11	koŋ 11	koŋ 11	koŋ 11	kaŋ 11; kǝn 11	kuŋ 11	kiuŋ 11	kuŋ 11	kiɔŋ 11	keŋ 11	kyŋ 11	koŋ 1	kuŋ 1
才	47	Chinese etymology	蟹開一平咍從	2088 1074	chai 12	chɛ 12	chɛ 12	chai 1	chai 12	chai 12	chɛ 12	ze_ 12	ze_ 12	chai 12	ʒ́ie 12	chai 12	chai 12	čhɔi 12	cai 12	chai 12	cai 12	ze_ 32	chai 12
�	48	Chinese etymology	臻合一入物非	0008 0741	pu 3	pu 11	pu 11	pǝʔ 41	pu 12	pu 12	pǝʔ 4	pôʔ 41	pai 41	pu 4	pu 12	pǝt 41	put 41	pat 41	put 41 (lit.); m 32	puk 41	pouʔ 41	pôʔ 4	pu 42
中	49	Chinese etymology	A: 通合三平東知; B: 通合三去送知	A: 0022 2659; B: 0022 2664	A: c̣uŋ 11; B: c̣uŋ 3	A: c̣uŋ 11; B: c̣uŋ 3	A: pfoŋ 11; B: pfoŋ 3	A: cuŋ 1; B: cuŋ 3	A: coŋ 11; B: coŋ 3	A: coŋ 11; B: coŋ 3	A: cɔuŋ 11; B: cɔuŋ 3	A: coŋ 11; B: coŋ 31	A: ćyoŋ 11; B: ćyoŋ 31	A: c̣oŋ 11; B: c̣oŋ 31	A: ćin 11; B: ćin 31	A: cuŋ 11; B: cuŋ 31	A: cuŋ 11; B: cuŋ 3	A: čuŋ 11; B: cuŋ 31	A: tiɔŋ 11; B: tiɔŋ 31	A: toŋ 11; B: toŋ 31	A: tyŋ 11; B: töyŋ 31	A: coŋ 1; B: coŋ 3	A: čiuŋ 1; B: čiuŋ 3
丹	50	Chinese etymology	山開一平寒端	0030 1658	tan 11	tã 11	tã 11	tä̃ 1	tan 11	tan 11	tɛ̃ 11	te_ 11	ta 11	tan 11	tã 11	tan 11	tan 11	tān 11	tan 11	taŋ 11	taŋ 11	te_ 1	tan 1
之	51	Chinese etymology	止開三平之章	0037 0444	c̣î_ 11	c̣î_ 11	ci_ 11	ci_ 1	ci_ 11	ci_ 11	ci_ 11	cü 11	ci_ 11	c̣î_ 11	c̣î_ 11	ci_ 11	ci_ 11	či 11	ci 12	ci_ 11	ci 11	ci_ 1	či_ 1
尹	52	Chinese etymology	臻合三上準以	1438 2151	in 2	iẽ 2	iẽ 2	iŋ 2	yn 2	yn 2	ĩ 2	in 11	ɦyoŋ 22	yn 2	uǝn 2	in 2	jin 2	uan 22	un 2	iŋ 21	yŋ 2	iiŋ 1	iǝn 2
丹	53	Chinese etymology	臻合三平文云	0061 2215	yn 12	yẽ 12	yẽ 12	yŋ 1	yn 12	yn 12	yĩ 12	yǝn 12	ɦyoŋ 12	yn 12	uǝn 12	yn 31	jun 12	uan 12	un 12 (lit.); hun 12	huŋ 12	xuŋ 12	yiŋ 32	yǝn 12
亢	54	Chinese etymology	梗開三上靜精	0064 2567	ćiŋ 2	ćiŋ 2	ćiŋ 2	ćiŋ 2	ćin 2	ćin 2	ćĩ 2	cin 2	ceŋ 21	cin 2	ćin 2  (lit.); ćiõ 2	ćin 2  (lit.); ćiaŋ 11	ciaŋ 2	čîŋ 21	cîŋ 2  (lit.); cĩ 2	cẽ 21	ciŋ 2  (lit.); ciaŋ 2	ciŋ 3	ciǝŋ 2
云	55	Chinese etymology	遇合一去暮匣	0062 0934	xu 3	xu 11	xu 3	xu 3	xu 3	fu 3	xu 3	ŋǝu 32	vu 32	fu 31	ɣǝu 32	фu 32	fu 12	uu 32	hɔ 32	hu 22	xou 32	ɦu 32	xu 3
五	56	Chinese etymology	遇合一上姥疑	0063 0942	u 2	u 2	u 2	vu 2	u 2	vu 2	u 2	ǝu 11 (lit.); ŋ 32	ŋ 22	u 2	ǝu 2	ŋ 2; u 2  (lit.)	ŋ 2	ŋ 22	gɔ 32 (lit.); ŋɔ̃ 32	ŋou 22	u 2  (lit.); ou 32	ŋ 32	u 2
仁	57	Chinese etymology	臻開三平真日	0088 2083	ẓǝn 12	ẓẽ 12	ẓẽ 12	zǝŋ 1	nǝn 12	zǝn 12	lǝn 12	zǝn 12 (lit.); ńin 12	zaŋ 12	ẓǝn 12	in 12	lan 31	jin 12	jan 12	ʒin 12	ziŋ 12	iŋ 12	zǝŋ 32 (lit.); ńiŋ 32	žiǝn 12
仇	58	Chinese etymology	流開三平尤襌	0092 1535	c̣hou 12	c̣hou 12	c̣hou 12	chou 1	chou 12	chǝu 12	chôɨ 12	zöy 12	ʒ́iu 12	c̣ôu 12	ʒ́iû 12	chɛu 12	su 12	čhau 12	siu 12	chiu 12	sieu 12	zô 32	khiou 12
仍	59	Chinese etymology	曾開三平蒸日	3095 2495	ẓǝŋ 12	ẓǝŋ 12	vǝŋ 12	zǝŋ 1	nǝn 12	zǝn 12	lǝn 12	zǝn 32	zeŋ 12	ẓǝn 12	in 32	lǝn 31	jin 12	jîŋ 12	lîŋ 12	zoŋ 12	iŋ 12	zǝŋ 32	
斗	60	Chinese etymology	深開三平侵見	0093 2113	ćin 11	ćiẽ 11	ćiẽ 11	ćiŋ 1	ćin 11	ćin 11	ćĩ 11	ćin 11	ćiaŋ 11	ćin 11	ćin 12	ćin 11	kin 11	kam 11	kim 11 (lit.); kin 11	kim 11	kiŋ 11	ćiŋ 1	kiǝm 1
介	61	Chinese etymology	蟹開二去怪見	0094 0352	ćie 3	ćiä 3	ćie 3	ćiɛ 3	kai 3	ćiai 3	ćiɛ 3	ćia_ 31 (lit.); ka_ 31	ka 31	kai 31	ka 31	kai 31	kiai 3	kāi 31	kai 31	kai 31	kai 31	ka 3	kiai 3
元	62	Chinese etymology	山合三平元疑	0337 2017	yan 12	yã 12	yã 12	yɛ 1	yan 12	yan 12	yî̃ 12	iö 12	ńy 12	yẽ 12	uĩ 12	ńyɔn 31	ńian 12	jyn 12	guan 12	ŋueŋ 12	ŋuɔŋ 12	yö 32	yen 12
允	63	Chinese etymology	臻合三上準以	0336 2216	yn 2	yẽ 2	yẽ 2	yŋ 1	yn 2	yn 2	yĩ 2	yǝn 2	ɦyoŋ 22	yn 2	uǝn 2	yn 2	jun 11	uan 22	un 2	zuŋ 21	yŋ 2	yiŋ 3	yǝn 2
之	64	Chinese etymology	蟹合一去隊泥	0355 1167	nei 3	nei 3	nuei 3	nuei 3	nei 3	nuei 3	nuǝi 3	ne_ 32	nai 32	nei 32	nue 32	lui 32	nui 3	nɔi 32	lue 32 (lit.); lai 32	lai 22	no_y 32	ne_ 32	nuei 3
仁	65	Chinese etymology	通合三入屋來	0362 1586	liou 3	liou 3	liou 11	liou 3; luǝʔ 41	nou 12	niǝu 12; nu 12	lɔʔ 4	loʔ 42	liu 42	nou 4	nǝu 31	liuk 41	liuk 41	luk 42	liɔk 42; lak 42	lak 42	löyʔ 42	loʔ 42	liou 43
